Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,8.4
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,22.9
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,23.0
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,21.7
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,21.9
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,21.6
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,20.1
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Drama,v21419962,1.1.3.11,22.1
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,5.3
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,5.2
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,4.6
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,4.2
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,4.5
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,4.5
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Videocassette recorder (VCR),v21419963,1.1.3.12,4.9
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,5.4
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,3.4
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,2.9
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,2.1
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,2.3
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,2.1
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Other television programmes,v21419964,1.1.3.13,2.9
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419965,1.2.1.1,100.0
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,21.2
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,20.5
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,21.2
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,22.3
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,22.3
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,23.7
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419966,1.2.1.2,21.5
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,2.9
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,3.3
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,4.1
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,3.8
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,3.8
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,3.8
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419967,1.2.1.3,3.3
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,1.6
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,2.2
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,2.2
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,2.6
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,3.6
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,3.4
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419968,1.2.1.4,3.1
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.3
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.1
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.3
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.2
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.2
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.3
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419969,1.2.1.5,1.1
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.3
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.3
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.3
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.4
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.4
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.2
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419970,1.2.1.6,0.3
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,9.6
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,9.7
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,9.9
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,9.9
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,9.3
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,9.3
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419971,1.2.1.7,7.7
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,8.2
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,10.8
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,11.4
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,11.6
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,11.5
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,12.2
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419972,1.2.1.8,14.4
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,1.3
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,1.4
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,1.4
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,1.4
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,1.1
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,1.1
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419973,1.2.1.9,0.9
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,13.2
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,12.6
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,12.9
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,11.9
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,12.0
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,11.9
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419974,1.2.1.10,10.5
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,28.3
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,28.9
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,27.2
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,28.0
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,27.5
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,26.0
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419975,1.2.1.11,28.7
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,5.8
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,5.7
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,5.1
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,4.8
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,5.0
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,4.9
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419976,1.2.1.12,5.2
1998,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,6.4
1999,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,3.6
2000,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,3.0
2001,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,2.2
2002,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,2.5
2003,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,2.2
2004,Canada,"Anglophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419977,1.2.1.13,3.3
1998,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,28.5
1999,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,28.4
2000,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,30.1
2001,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,28.6
2002,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,29.5
2003,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,30.0
2004,Canada,"Anglophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21419978,1.2.2.1,27.6
1998,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,14.6
1999,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,14.7
2000,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,15.4
2001,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,14.6
2002,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,15.0
2003,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,15.6
2004,Canada,"Anglophones, two years and older",Canadian television programmes,News and public affairs,v21419979,1.2.2.2,14.3
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,0.6
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,0.7
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,1.2
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,1.2
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,1.2
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,1.2
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Documentary,v21419980,1.2.2.3,1.1
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,0.7
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,0.8
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,1.1
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,1.2
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,1.1
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,1.1
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Academic instruction,v21419981,1.2.2.4,1.2
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.4
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.3
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.3
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.4
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.3
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.4
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21419982,1.2.2.5,0.4
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.1
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.1
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.1
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.2
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.2
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.1
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Religion,v21419983,1.2.2.6,0.2
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,6.7
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,5.7
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,5.4
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,5.1
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,5.9
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,5.4
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Sports,v21419984,1.2.2.7,3.2
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.3
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.2
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.4
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.1
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.3
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.5
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Variety and games,v21419985,1.2.2.8,1.9
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,0.9
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,0.9
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,1.1
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,0.9
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,0.7
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,0.7
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Music and dance,v21419986,1.2.2.9,0.6
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.6
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.5
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.4
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.5
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.4
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.5
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Comedy,v21419987,1.2.2.10,0.8
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,2.6
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,3.4
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,3.6
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,3.5
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,3.4
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,3.4
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Drama,v21419988,1.2.2.11,3.9
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419989,1.2.2.12,0.0
1998,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
1999,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
2000,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
2001,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
2002,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
2003,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
2004,Canada,"Anglophones, two years and older",Canadian television programmes,Other television programmes,v21419990,1.2.2.13,0.0
1998,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,71.5
1999,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,71.6
2000,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,69.9
2001,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,71.4
2002,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,70.5
2003,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,70.0
2004,Canada,"Anglophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21419991,1.2.3.1,72.4
1998,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,6.6
1999,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,5.8
2000,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,5.8
2001,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,7.7
2002,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,7.3
2003,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,8.1
2004,Canada,"Anglophones, two years and older",Foreign television programmes,News and public affairs,v21419992,1.2.3.2,7.2
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.3
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.6
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.9
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.7
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.6
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.6
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Documentary,v21419993,1.2.3.3,2.2
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,0.8
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,1.4
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,1.1
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,1.4
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,2.4
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,2.3
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Academic instruction,v21419994,1.2.3.4,1.9
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,0.9
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,0.8
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,1.0
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,0.8
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,0.9
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,0.9
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21419995,1.2.3.5,0.7
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.1
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.1
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.1
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.2
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.2
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.1
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Religion,v21419996,1.2.3.6,0.1
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,2.9
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,4.0
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,4.5
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,4.8
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,3.5
